,Replica,run,conf,frame,tpore,x0,y0,x1,y1,x2,y2,x3,y3
0,APM-hyp_1,1,9,16,1.6,78,203,,,,,,
1,APM-hyp_1,2,9,15,1.5,68,130,,,,,,
2,APM-hyp_1,3,9,11,1.1,133,131,,,,,,
3,APM-hyp_1,4,9,10,1.0,199,114,,,,,,
4,APM-hyp_1,5,9,13,1.3,17,13,,,,,,
5,APM-hyp_1,6,9,7,0.7,26,296,,,,,,
6,APM-hyp_1,7,9,25,2.5,199,132,,,,,,
7,APM-hyp_1,8,9,16,1.6,4,29,129,208,,,,
8,APM-hyp_1,9,9,19,1.9,60,134,,,,,,
9,APM-hyp_1,10,9,10,1.0,198,289,,,,,,
10,APM-hyp_1,11,9,13,1.3,135,185,223,110,,,,
11,APM-hyp_1,12,9,16,1.6,32,8,,,,,,
12,APM-hyp_1,13,9,14,1.4,228,114,,,,,,
13,APM-hyp_1,14,9,13,1.3,63,120,,,,,,
14,APM-hyp_1,15,9,13,1.3,141,208,170,40,,,,
15,APM-hyp_1,16,9,19,1.9,88,91,,,,,,
16,APM-hyp_1,17,9,17,1.7,132,218,,,,,,
17,APM-hyp_1,18,9,17,1.7,19,295,240,152,,,,
18,APM-hyp_1,19,9,16,1.6,126,176,,,,,,
19,APM-hyp_1,20,9,16,1.6,34,231,,,,,,
20,APM-hyp_1,21,9,14,1.4,48,135,,,,,,
21,APM-hyp_1,22,9,13,1.3,61,126,221,157,,,,
22,APM-hyp_1,23,9,13,1.3,133,194,,,,,,
23,APM-hyp_1,24,9,20,2.0,20,10,,,,,,
24,APM-hyp_1,25,9,15,1.5,233,117,,,,,,
25,APM-hyp_1,26,9,23,2.3,34,296,193,27,208,107,,
26,APM-hyp_1,27,9,13,1.3,68,125,,,,,,
27,APM-hyp_1,28,9,15,1.5,223,241,,,,,,
28,APM-hyp_1,29,9,19,1.9,128,218,,,,,,
29,APM-hyp_1,30,9,16,1.6,142,209,,,,,,
30,APM-hyp_1,31,9,14,1.4,14,7,78,124,,,,
31,APM-hyp_1,32,9,21,2.1,156,292,55,210,247,142,,
32,APM-hyp_1,33,9,20,2.0,136,255,,,,,,
33,APM-hyp_1,34,9,19,1.9,167,26,,,,,,
34,APM-hyp_1,35,9,20,2.0,217,225,,,,,,
35,APM-hyp_1,36,9,22,2.2,3,26,128,202,,,,
36,APM-hyp_1,37,9,19,1.9,28,9,,,,,,
37,APM-hyp_1,38,9,15,1.5,82,115,,,,,,
38,APM-hyp_1,39,9,19,1.9,76,131,,,,,,
39,APM-hyp_1,40,9,16,1.6,88,109,,,,,,
40,APM-hyp_1,41,9,21,2.1,45,287,208,131,,,,
41,APM-hyp_1,42,9,17,1.7,15,5,127,292,,,,
42,APM-hyp_1,43,9,27,2.7,124,207,,,,,,
43,APM-hyp_1,44,9,17,1.7,63,127,,,,,,
44,APM-hyp_1,45,9,19,1.9,20,9,,,,,,
45,APM-hyp_1,46,9,16,1.6,25,292,,,,,,
46,APM-hyp_1,47,9,13,1.3,70,111,138,197,,,,
47,APM-hyp_1,48,9,23,2.3,4,40,208,153,,,,
48,APM-hyp_1,49,9,23,2.3,22,17,52,127,,,,
49,APM-hyp_1,50,9,15,1.5,179,202,,,,,,
50,APM-hyp_1,51,9,17,1.7,85,211,91,216,,,,
51,APM-hyp_1,52,9,14,1.4,203,132,,,,,,
52,APM-hyp_1,53,9,15,1.5,19,8,35,66,121,145,,
53,APM-hyp_1,54,9,21,2.1,73,121,,,,,,
54,APM-hyp_1,55,9,16,1.6,72,126,,,,,,
55,APM-hyp_1,56,9,21,2.1,161,28,,,,,,
56,APM-hyp_1,57,9,16,1.6,96,91,209,101,,,,
57,APM-hyp_1,58,9,22,2.2,21,206,26,23,158,195,224,220
58,APM-hyp_1,59,9,31,3.1,91,93,224,220,,,,
59,APM-hyp_1,60,9,13,1.3,62,122,,,,,,
60,APM-hyp_2,1,9,17,1.7,218,243,,,,,,
61,APM-hyp_2,2,9,19,1.9,244,238,300,282,41,224,,
62,APM-hyp_2,3,9,14,1.4,206,28,272,263,,,,
63,APM-hyp_2,4,9,13,1.3,269,270,,,,,,
64,APM-hyp_2,5,9,23,2.3,44,230,263,285,,,,
65,APM-hyp_2,6,9,20,2.0,68,142,59,279,,,,
66,APM-hyp_2,7,9,21,2.1,294,9,,,,,,
67,APM-hyp_2,8,9,13,1.3,234,240,,,,,,
68,APM-hyp_2,9,9,10,1.0,278,266,,,,,,
69,APM-hyp_2,10,9,29,2.9,261,256,,,,,,
70,APM-hyp_2,11,9,21,2.1,237,245,66,282,,,,
71,APM-hyp_2,12,9,7,0.7,61,136,,,,,,
72,APM-hyp_2,13,9,10,1.0,271,256,,,,,,
73,APM-hyp_2,14,9,21,2.1,281,277,,,,,,
74,APM-hyp_2,15,9,33,3.3,297,152,134,272,,,,
75,APM-hyp_2,16,9,23,2.3,278,278,,,,,,
76,APM-hyp_2,17,9,29,2.9,257,205,,,,,,
77,APM-hyp_2,18,9,21,2.1,274,265,,,,,,
78,APM-hyp_2,19,9,32,3.2,150,16,,,,,,
79,APM-hyp_2,20,9,22,2.2,36,215,,,,,,
80,APM-hyp_2,21,9,44,4.4,58,156,249,222,,,,
81,APM-hyp_2,22,9,20,2.0,276,286,,,,,,
82,APM-hyp_2,23,9,15,1.5,275,272,,,,,,
83,APM-hyp_2,24,9,25,2.5,277,273,,,,,,
84,APM-hyp_2,25,9,20,2.0,273,272,,,,,,
85,APM-hyp_2,26,9,21,2.1,50,294,260,259,,,,
86,APM-hyp_2,27,9,31,3.1,273,288,,,,,,
87,APM-hyp_2,28,9,21,2.1,164,104,,,,,,
88,APM-hyp_2,29,9,8,0.8,270,272,,,,,,
89,APM-hyp_2,30,9,16,1.6,246,219,,,,,,
90,APM-hyp_2,31,9,13,1.3,245,230,,,,,,
91,APM-hyp_2,32,9,23,2.3,264,200,,,,,,
92,APM-hyp_2,33,9,21,2.1,128,287,,,,,,
93,APM-hyp_2,34,9,32,3.2,291,272,,,,,,
94,APM-hyp_2,35,9,33,3.3,264,229,,,,,,
95,APM-hyp_2,36,9,25,2.5,154,106,,,,,,
96,APM-hyp_2,37,9,14,1.4,58,295,,,,,,
97,APM-hyp_2,38,9,25,2.5,244,238,,,,,,
98,APM-hyp_2,39,9,25,2.5,271,226,,,,,,
99,APM-hyp_2,40,9,20,2.0,280,267,,,,,,
100,APM-hyp_2,41,9,16,1.6,92,35,,,,,,
101,APM-hyp_2,42,9,17,1.7,266,243,278,64,,,,
102,APM-hyp_2,43,9,31,3.1,285,257,,,,,,
103,APM-hyp_2,44,9,16,1.6,267,266,,,,,,
104,APM-hyp_2,45,9,19,1.9,93,118,,,,,,
105,APM-hyp_2,46,9,19,1.9,249,221,,,,,,
106,APM-hyp_2,47,9,15,1.5,270,267,,,,,,
107,APM-hyp_2,48,9,19,1.9,245,221,,,,,,
108,APM-hyp_2,49,9,17,1.7,280,272,,,,,,
109,APM-hyp_2,50,9,34,3.4,285,293,,,,,,
110,APM-hyp_2,51,9,26,2.6,130,6,,,,,,
111,APM-hyp_2,52,9,25,2.5,271,259,,,,,,
112,APM-hyp_2,53,9,25,2.5,261,238,,,,,,
113,APM-hyp_2,54,9,20,2.0,107,39,,,,,,
114,APM-hyp_2,55,9,17,1.7,276,272,,,,,,
115,APM-hyp_2,56,9,19,1.9,276,268,,,,,,
116,APM-hyp_2,57,9,26,2.6,153,3,245,222,261,264,,
117,APM-hyp_2,58,9,26,2.6,132,20,,,,,,
118,APM-hyp_2,59,9,20,2.0,273,274,,,,,,
119,APM-hyp_2,60,9,19,1.9,281,260,,,,,,
120,APM-hyp_3,1,9,14,1.4,86,82,,,,,,
121,APM-hyp_3,2,9,13,1.3,255,275,,,,,,
122,APM-hyp_3,3,9,31,3.1,253,272,,,,,,
123,APM-hyp_3,4,9,14,1.4,246,260,,,,,,
124,APM-hyp_3,5,9,14,1.4,91,124,,,,,,
125,APM-hyp_3,6,9,25,2.5,23,287,,,,,,
126,APM-hyp_3,7,9,21,2.1,60,295,240,267,,,,
127,APM-hyp_3,8,9,31,3.1,294,123,,,,,,
128,APM-hyp_3,9,9,23,2.3,208,28,,,,,,
129,APM-hyp_3,10,9,21,2.1,214,6,300,15,,,,
130,APM-hyp_3,11,9,19,1.9,41,244,,,,,,
131,APM-hyp_3,12,9,19,1.9,245,269,,,,,,
132,APM-hyp_3,13,9,19,1.9,111,237,,,,,,
133,APM-hyp_3,14,9,15,1.5,294,28,,,,,,
134,APM-hyp_3,15,9,19,1.9,262,65,,,,,,
135,APM-hyp_3,16,9,39,3.9,224,9,,,,,,
136,APM-hyp_3,17,9,22,2.2,43,297,,,,,,
137,APM-hyp_3,18,9,25,2.5,292,7,,,,,,
138,APM-hyp_3,19,9,16,1.6,295,11,,,,,,
139,APM-hyp_3,20,9,38,3.8,296,136,49,243,,,,
140,APM-hyp_3,21,9,25,2.5,245,270,,,,,,
141,APM-hyp_3,22,9,31,3.1,104,77,,,,,,
142,APM-hyp_3,23,9,29,2.9,254,260,,,,,,
143,APM-hyp_3,24,9,31,3.1,41,257,246,277,,,,
144,APM-hyp_3,25,9,43,4.3,114,170,,,,,,
145,APM-hyp_3,26,9,23,2.3,35,237,291,35,135,219,,
146,APM-hyp_3,27,9,28,2.8,186,266,,,,,,
147,APM-hyp_3,28,9,37,3.7,62,289,133,232,,,,
148,APM-hyp_3,29,9,19,1.9,205,292,,,,,,
149,APM-hyp_3,30,9,28,2.8,263,68,,,,,,
150,APM-hyp_3,31,9,25,2.5,293,11,,,,,,
151,APM-hyp_3,32,9,26,2.6,254,77,275,50,,,,
152,APM-hyp_3,33,9,13,1.3,206,12,,,,,,
153,APM-hyp_3,34,9,26,2.6,297,295,,,,,,
154,APM-hyp_3,35,9,28,2.8,103,87,188,220,,,,
155,APM-hyp_3,36,9,25,2.5,27,4,103,63,,,,
156,APM-hyp_3,37,9,34,3.4,136,211,,,,,,
157,APM-hyp_3,38,9,21,2.1,187,293,239,258,,,,
158,APM-hyp_3,39,9,27,2.7,284,35,,,,,,
159,APM-hyp_3,40,9,31,3.1,214,296,,,,,,
160,APM-hyp_3,41,9,19,1.9,243,265,295,122,,,,
161,APM-hyp_3,42,9,25,2.5,3,39,,,,,,
162,APM-hyp_3,43,9,17,1.7,126,183,,,,,,
163,APM-hyp_3,44,9,26,2.6,297,142,,,,,,
164,APM-hyp_3,45,9,15,1.5,246,273,,,,,,
165,APM-hyp_3,46,9,19,1.9,241,276,,,,,,
166,APM-hyp_3,47,9,14,1.4,204,19,,,,,,
167,APM-hyp_3,48,9,39,3.9,205,5,275,28,,,,
168,APM-hyp_3,49,9,14,1.4,244,275,,,,,,
169,APM-hyp_3,50,9,13,1.3,66,105,,,,,,
170,APM-hyp_3,51,9,13,1.3,290,27,,,,,,
171,APM-hyp_3,52,9,15,1.5,284,31,,,,,,
172,APM-hyp_3,53,9,10,1.0,204,24,,,,,,
173,APM-hyp_3,54,9,16,1.6,130,189,,,,,,
174,APM-hyp_3,55,9,21,2.1,101,50,133,273,,,,
175,APM-hyp_3,56,9,27,2.7,130,194,,,,,,
176,APM-hyp_3,57,9,25,2.5,292,8,,,,,,
177,APM-hyp_3,58,9,32,3.2,207,296,287,146,,,,
178,APM-hyp_3,59,9,21,2.1,47,243,258,24,,,,
179,APM-hyp_3,60,9,22,2.2,251,266,271,129,,,,
180,APM-hyp_4,1,9,21,2.1,79,279,,,,,,
181,APM-hyp_4,2,9,20,2.0,196,289,,,,,,
182,APM-hyp_4,3,9,29,2.9,10,82,45,146,,,,
183,APM-hyp_4,4,9,22,2.2,70,269,,,,,,
184,APM-hyp_4,5,9,13,1.3,171,153,,,,,,
185,APM-hyp_4,6,9,13,1.3,210,258,,,,,,
186,APM-hyp_4,7,9,25,2.5,168,173,,,,,,
187,APM-hyp_4,8,9,31,3.1,216,280,,,,,,
188,APM-hyp_4,9,9,19,1.9,80,280,,,,,,
189,APM-hyp_4,10,9,15,1.5,159,116,,,,,,
190,APM-hyp_4,11,9,9,0.9,282,217,,,,,,
191,APM-hyp_4,12,9,35,3.5,88,132,,,,,,
192,APM-hyp_4,13,9,9,0.9,153,105,,,,,,
193,APM-hyp_4,14,9,21,2.1,204,263,,,,,,
194,APM-hyp_4,15,9,20,2.0,166,143,,,,,,
195,APM-hyp_4,16,9,29,2.9,195,285,271,162,,,,
196,APM-hyp_4,17,9,16,1.6,49,195,49,90,,,,
197,APM-hyp_4,18,9,29,2.9,50,130,,,,,,
198,APM-hyp_4,19,9,13,1.3,87,265,,,,,,
199,APM-hyp_4,20,9,43,4.3,175,177,,,,,,
200,APM-hyp_4,21,9,19,1.9,294,214,,,,,,
201,APM-hyp_4,22,9,43,4.3,53,204,153,178,,,,
202,APM-hyp_4,23,9,33,3.3,172,171,,,,,,
203,APM-hyp_4,24,9,40,4.0,96,122,260,287,95,215,,
204,APM-hyp_4,25,9,21,2.1,263,161,255,161,,,,
205,APM-hyp_4,26,9,23,2.3,258,295,,,,,,
206,APM-hyp_4,27,9,19,1.9,8,38,,,,,,
207,APM-hyp_4,28,9,13,1.3,60,125,,,,,,
208,APM-hyp_4,29,9,14,1.4,13,14,,,,,,
209,APM-hyp_4,30,9,20,2.0,4,142,,,,,,
210,APM-hyp_4,31,9,32,3.2,251,295,,,,,,
211,APM-hyp_4,32,9,13,1.3,51,209,,,,,,
212,APM-hyp_4,33,9,37,3.7,3,239,,,,,,
213,APM-hyp_4,34,9,21,2.1,185,176,,,,,,
214,APM-hyp_4,35,9,29,2.9,225,81,170,117,,,,
215,APM-hyp_4,36,9,22,2.2,91,271,,,,,,
216,APM-hyp_4,37,9,19,1.9,59,116,,,,,,
217,APM-hyp_4,38,9,23,2.3,94,243,,,,,,
218,APM-hyp_4,39,9,28,2.8,295,146,186,150,,,,
219,APM-hyp_4,40,9,31,3.1,130,296,,,,,,
220,APM-hyp_4,41,9,26,2.6,204,73,,,,,,
221,APM-hyp_4,42,9,31,3.1,194,77,,,,,,
222,APM-hyp_4,43,9,20,2.0,56,193,,,,,,
223,APM-hyp_4,44,9,19,1.9,97,68,,,,,,
224,APM-hyp_4,45,9,25,2.5,297,146,209,287,,,,
225,APM-hyp_4,46,9,28,2.8,217,272,,,,,,
226,APM-hyp_4,47,9,9,0.9,256,3,,,,,,
227,APM-hyp_4,48,9,19,1.9,106,238,,,,,,
228,APM-hyp_4,49,9,35,3.5,286,95,183,130,,,,
229,APM-hyp_4,50,9,25,2.5,157,128,276,246,,,,
230,APM-hyp_4,51,9,25,2.5,154,173,,,,,,
231,APM-hyp_4,52,9,20,2.0,287,221,,,,,,
232,APM-hyp_4,53,9,25,2.5,153,117,240,5,,,,
233,APM-hyp_4,54,9,20,2.0,206,267,,,,,,
234,APM-hyp_4,55,9,25,2.5,88,122,,,,,,
235,APM-hyp_4,56,9,19,1.9,143,156,,,,,,
236,APM-hyp_4,57,9,23,2.3,264,4,,,,,,
237,APM-hyp_4,58,9,41,4.1,297,36,,,,,,
238,APM-hyp_4,59,9,19,1.9,141,161,,,,,,
239,APM-hyp_4,60,9,21,2.1,142,177,,,,,,
