,Replica,run,conf,frame,tpore,x0,y0,x1,y1,x2,y2
0,APM_1,1,9,14,1.4,63,119,,,,
1,APM_1,2,9,31,3.1,185,294,,,,
2,APM_1,3,9,55,5.5,157,95,,,,
3,APM_1,4,9,34,3.4,253,130,,,,
4,APM_1,5,9,41,4.1,225,168,,,,
5,APM_1,6,9,13,1.3,270,96,,,,
6,APM_1,7,9,15,1.5,57,120,,,,
7,APM_1,8,9,43,4.3,26,237,,,,
8,APM_1,9,9,23,2.3,14,296,,,,
9,APM_1,10,9,44,4.4,139,133,,,,
10,APM_1,11,9,51,5.1,64,123,,,,
11,APM_1,12,9,31,3.1,225,143,,,,
12,APM_1,13,9,35,3.5,209,134,,,,
13,APM_1,14,9,27,2.7,90,188,,,,
14,APM_1,15,9,60,6.0,244,141,,,,
15,APM_1,16,9,20,2.0,208,113,,,,
16,APM_1,17,9,26,2.6,15,29,,,,
17,APM_1,18,9,27,2.7,212,145,,,,
18,APM_1,19,9,11,1.1,215,139,,,,
19,APM_1,20,9,28,2.8,18,35,,,,
20,APM_1,21,9,39,3.9,32,40,,,,
21,APM_1,22,9,19,1.9,136,291,,,,
22,APM_1,23,9,16,1.6,222,136,,,,
23,APM_1,24,9,13,1.3,221,169,,,,
24,APM_1,25,9,25,2.5,93,217,183,188,,
25,APM_1,26,9,20,2.0,155,277,,,,
26,APM_1,27,9,37,3.7,299,233,,,,
27,APM_1,28,9,19,1.9,153,291,,,,
28,APM_1,29,9,19,1.9,213,149,,,,
29,APM_1,30,9,44,4.4,3,34,,,,
30,APM_1,31,9,20,2.0,212,141,,,,
31,APM_1,32,9,15,1.5,137,212,229,142,,
32,APM_1,33,9,15,1.5,184,285,,,,
33,APM_1,34,9,25,2.5,233,117,,,,
34,APM_1,35,9,37,3.7,167,294,,,,
35,APM_1,36,9,15,1.5,17,4,,,,
36,APM_1,37,9,35,3.5,66,150,,,,
37,APM_1,38,9,28,2.8,84,216,,,,
38,APM_1,39,9,52,5.2,19,289,76,123,,
39,APM_1,40,9,27,2.7,37,5,,,,
40,APM_1,41,9,32,3.2,8,35,,,,
41,APM_1,42,9,22,2.2,23,255,,,,
42,APM_1,43,9,31,3.1,227,142,,,,
43,APM_1,44,9,16,1.6,63,126,,,,
44,APM_1,45,9,31,3.1,240,132,,,,
45,APM_1,46,9,25,2.5,295,269,,,,
