,x_rel,y_rel,tpore,frame,parea_mean,densS7_mean,mcurv_mean,charg_mean,order_mean_mean,parea_diff,densS7_diff,FS,MU,PU,ZWIT,NCHG,SUG,CHOL,PC,PE,SM,PS,GM,CE,LPC,DAG,PI,PA,PIP
0,0.7016509396,0.01931149375,4.0,1,60.76747955,0.9415121078,-0.01454838237,-0.2192814034,0.2505334777,-21.61695682,0.2386370734,0.1419585077,0.5665189885,0.7391742923,0.9988650697,0.346743673,0.1568219618,0.5523482115,0.5958446653,0.3015618474,0.101458557,0.09810257731,0.0252104479,0.1020430458,0.0,0.0,0.1316115139,0.09181913389,0.0
1,0.7563668386,0.8143013198,5.1,1,56.30047997,0.9765627691,-0.001090167697,-0.06978405874,0.2981203994,-3.549191948,-0.02850878558,0.2773470274,0.5983299845,0.5522637688,1.344507147,0.08172150568,0.07742773817,0.5720592193,0.6179958329,0.3046290624,0.4029574473,0.0,0.0,0.0,0.01892480471,0.001712127712,0.05065131602,0.004293767512,0.02677642215
2,0.2188635958,0.2607051656,2.3,1,62.53082717,0.9722368067,-0.01289060797,-0.1356311094,0.2214214581,30.64726695,-0.3804507154,0.3233015072,0.2391628074,0.8742741462,1.244475468,0.1707714465,0.02780900241,0.5632615393,0.2512324906,0.6366202252,0.3566227519,0.04247167176,0.01234063299,0.002753215876,0.0,0.01873833068,0.01546836942,0.1004907723,0.0
3,0.9462631938,0.1287432917,2.5,1,55.91549953,0.9677836569,-0.004119021411,-0.1894249535,0.1701363011,-10.63811056,0.1458916269,0.2309398454,0.3756711194,0.7539828103,1.029504209,0.3177419875,0.1498375439,0.6394062249,0.304910868,0.4936534959,0.2260429898,0.1067965241,0.1385321529,0.0,0.004896855596,0.01334757829,0.01130539099,0.06110791951,0.0
4,0.7982084084,0.8625800542,1.7,1,58.97613006,0.964856229,0.006125294616,-0.2506556828,0.2783728134,19.96725188,-0.2308302974,0.1196288612,0.1740636938,1.291002024,1.26722135,0.3174732288,0.07819604792,0.4153054209,0.8367155945,0.2911677204,0.1124816165,0.05543904414,0.0,0.0,0.02685641894,0.0,0.07819604792,0.1838381368,0.0
5,0.6598093698,0.07080881042,4.3,1,57.48221116,1.002373961,0.001099344552,-0.1281018198,0.1883693383,-22.28910577,0.1932838982,0.05788633162,0.1942285062,1.073241978,1.012139256,0.2562036397,0.1684777777,0.6746431846,0.6315081196,0.2660850742,0.1145460622,0.08772586194,0.0,0.0165976363,0.0,0.04041628351,0.1684777777,0.0,0.0
6,0.8110827375,0.8368313959,2.0,1,57.99970309,0.9599361293,0.01555578376,-0.1343563048,0.2863554685,17.16626913,-0.2037109707,0.2491500952,0.5250322992,0.7274905328,1.348771086,0.1529018415,0.04830970341,0.4983270729,0.6878196463,0.3157941004,0.3262259175,0.01128384235,0.0,0.0,0.01893142146,0.0,0.03705846722,0.0933082957,0.01125123618
7,0.1705848615,0.440945774,5.5,1,55.65766404,0.9673485289,0.003179301402,-0.07553090844,0.2890311766,-14.31076213,0.1432507736,0.04804341708,0.5353221005,0.8377335817,1.30121846,0.1198806398,0.1172171688,0.5789009007,0.6378302227,0.6038156743,0.05957256252,0.002663470981,0.05953280257,0.0,0.0,0.0,0.04988907194,0.0,0.007795294276
8,0.1512733677,0.8625800542,1.4,1,60.30482289,0.9350864498,0.006926419902,-0.07807382908,0.281688413,-8.736491886,-0.003767647575,0.1974520438,0.4499147618,0.8650976473,1.428479393,0.08398505979,0.03988027598,0.4875355471,0.5513926987,0.5337626418,0.3433240526,0.04410478381,0.02785317625,0.0,0.0,0.0,0.0,0.0,0.01202709973
9,0.04506015208,0.8175199021,3.1,1,63.31915139,0.9751393303,0.01081553104,-0.08684685801,0.2184085569,-9.4022959,-0.04369325709,0.08505936739,0.5696051889,0.5432159267,1.099331233,0.06897388153,0.03699394501,0.802119517,0.3374611383,0.4804108909,0.268767042,0.03197993651,0.01954063926,0.0,0.01269216155,0.02957536867,0.0,0.0,0.01745330575
10,0.01287432917,0.2124264313,3.2,1,62.49532592,0.8897019074,-0.001734642124,-0.04674203634,0.1689478242,-4.674647564,0.08018657978,0.1115373439,0.4364855467,0.6065222776,1.061061096,0.09348407268,0.0720919135,0.8454548317,0.5843353579,0.3172803278,0.1594454099,0.02139215918,0.0,0.0,0.0,0.0,0.0720919135,0.0,0.0
11,0.3057653177,0.9527003584,3.1,1,57.89520884,0.9753554643,-0.003613931108,-0.04011200371,0.2132480837,-2.605447292,0.03073803696,0.09875879101,0.5785139521,0.5600569306,1.155054852,0.04902860713,0.01783320683,0.7626703263,0.4256300711,0.2969927625,0.4324320187,0.0,0.0,0.0,0.0,0.03324621427,0.01783320683,0.03119540029,0.0
12,0.08690172188,0.7595854209,3.0,1,66.66292283,0.895903239,-0.004340816394,-0.09327653212,0.2459258564,15.51614827,-0.2806201593,0.3923525832,0.3272698049,0.8912223121,1.356510373,0.1865530642,0.0,0.3891552998,0.5408763041,0.3663438701,0.3036335684,0.1865530642,0.0,0.0,0.1456566305,0.06778126294,0.0,0.0,0.0
