,Replica,run,conf,frame,tpore,x0,y0,x1,y1,x2,y2,x3,y3
0,BPM-hyp_1,1,9,26,2.6,191,90,,,,,,
1,BPM-hyp_1,2,9,25,2.5,184,88,,,,,,
2,BPM-hyp_1,3,9,31,3.1,186,112,,,,,,
3,BPM-hyp_1,4,9,50,5.0,191,101,,,,,,
4,BPM-hyp_1,5,9,25,2.5,9,204,,,,,,
5,BPM-hyp_1,6,9,37,3.7,37,80,188,102,,,,
6,BPM-hyp_1,7,9,25,2.5,46,77,199,94,7,228,,
7,BPM-hyp_1,8,9,31,3.1,33,78,,,,,,
8,BPM-hyp_1,9,9,53,5.3,8,219,,,,,,
9,BPM-hyp_1,10,9,25,2.5,66,72,,,,,,
10,BPM-hyp_1,11,9,31,3.1,60,154,,,,,,
11,BPM-hyp_1,12,9,32,3.2,106,55,,,,,,
12,BPM-hyp_1,13,9,44,4.4,36,88,,,,,,
13,BPM-hyp_1,14,9,31,3.1,182,96,,,,,,
14,BPM-hyp_1,15,9,25,2.5,34,86,,,,,,
15,BPM-hyp_1,16,9,15,1.5,191,93,,,,,,
16,BPM-hyp_1,17,9,33,3.3,15,294,,,,,,
17,BPM-hyp_1,18,9,40,4.0,14,217,,,,,,
18,BPM-hyp_1,19,9,25,2.5,14,92,,,,,,
19,BPM-hyp_1,20,9,32,3.2,78,142,,,,,,
20,BPM-hyp_1,21,9,35,3.5,50,85,,,,,,
21,BPM-hyp_1,22,9,31,3.1,35,85,,,,,,
22,BPM-hyp_1,23,9,13,1.3,190,91,,,,,,
23,BPM-hyp_1,24,9,19,1.9,47,83,,,,,,
24,BPM-hyp_1,25,9,49,4.9,51,87,,,,,,
25,BPM-hyp_1,26,9,31,3.1,29,84,292,36,,,,
26,BPM-hyp_1,27,9,25,2.5,11,207,,,,,,
27,BPM-hyp_1,28,9,25,2.5,189,103,,,,,,
28,BPM-hyp_1,29,9,40,4.0,219,96,,,,,,
29,BPM-hyp_1,30,9,32,3.2,144,13,,,,,,
30,BPM-hyp_1,31,9,19,1.9,70,145,,,,,,
31,BPM-hyp_1,32,9,27,2.7,35,77,188,83,,,,
32,BPM-hyp_1,33,9,22,2.2,34,71,,,,,,
33,BPM-hyp_1,34,9,50,5.0,296,10,,,,,,
34,BPM-hyp_1,35,9,25,2.5,39,74,,,,,,
35,BPM-hyp_1,36,9,22,2.2,194,77,,,,,,
36,BPM-hyp_1,37,9,49,4.9,64,151,,,,,,
37,BPM-hyp_1,38,9,14,1.4,38,77,,,,,,
38,BPM-hyp_1,39,9,38,3.8,183,73,,,,,,
39,BPM-hyp_1,40,9,25,2.5,182,94,,,,,,
40,BPM-hyp_1,41,9,45,4.5,198,72,,,,,,
41,BPM-hyp_1,42,9,20,2.0,123,31,,,,,,
42,BPM-hyp_1,43,9,37,3.7,92,56,,,,,,
43,BPM-hyp_1,44,9,32,3.2,106,5,,,,,,
44,BPM-hyp_1,45,9,39,3.9,81,147,,,,,,
45,BPM-hyp_1,46,9,20,2.0,192,87,,,,,,
46,BPM-hyp_1,47,9,61,6.1,30,75,,,,,,
47,BPM-hyp_1,48,9,49,4.9,69,55,,,,,,
48,BPM-hyp_1,49,9,53,5.3,77,57,,,,,,
49,BPM-hyp_1,50,9,15,1.5,45,79,,,,,,
50,BPM-hyp_1,51,9,25,2.5,47,86,,,,,,
51,BPM-hyp_1,52,9,8,0.8,36,80,,,,,,
52,BPM-hyp_1,53,9,55,5.5,48,23,,,,,,
53,BPM-hyp_1,54,9,35,3.5,225,265,189,110,,,,
