,Replica,run,conf,frame,tpore,x0,y0,x1,y1,x2,y2,x3,y3
0,BPM_1,1,9,25,2.5,28,85,,,,,,
1,BPM_1,2,9,37,3.7,22,79,,,,,,
2,BPM_1,3,9,70,7.0,132,125,,,,,,
3,BPM_1,4,9,77,7.7,92,142,,,,,,
4,BPM_1,5,9,48,4.8,6,207,,,,,,
5,BPM_1,6,9,50,5.0,62,55,,,,,,
6,BPM_1,7,9,37,3.7,197,89,,,,,,
7,BPM_1,8,9,27,2.7,4,16,5,218,,,,
8,BPM_1,9,9,55,5.5,296,29,,,,,,
9,BPM_1,10,9,44,4.4,209,57,,,,,,
10,BPM_1,11,10,12,11.2,291,60,,,,,,
11,BPM_1,12,9,25,2.5,44,80,,,,,,
12,BPM_1,13,9,13,1.3,58,69,,,,,,
13,BPM_1,14,9,28,2.8,14,211,,,,,,
14,BPM_1,15,9,43,4.3,20,68,,,,,,
15,BPM_1,16,9,62,6.2,5,8,,,,,,
16,BPM_1,17,9,38,3.8,232,109,,,,,,
17,BPM_1,18,9,43,4.3,76,50,,,,,,
18,BPM_1,19,9,52,5.2,52,61,,,,,,
19,BPM_1,20,9,25,2.5,13,91,,,,,,
20,BPM_1,21,9,43,4.3,56,139,,,,,,
21,BPM_1,22,9,43,4.3,59,53,217,125,,,,
22,BPM_1,23,9,34,3.4,65,62,,,,,,
23,BPM_1,24,9,65,6.5,35,84,119,121,,,,
24,BPM_1,25,9,19,1.9,33,74,,,,,,
25,BPM_1,26,9,61,6.1,27,234,,,,,,
26,BPM_1,27,9,69,6.9,31,65,,,,,,
27,BPM_1,28,9,46,4.6,50,84,,,,,,
28,BPM_1,29,9,56,5.6,237,95,,,,,,
29,BPM_1,30,9,25,2.5,188,99,,,,,,
30,BPM_1,31,9,20,2.0,184,80,,,,,,
31,BPM_1,32,9,20,2.0,142,27,,,,,,
32,BPM_1,33,9,46,4.6,49,72,,,,,,
33,BPM_1,34,9,25,2.5,53,76,,,,,,
34,BPM_1,35,9,31,3.1,20,221,,,,,,
35,BPM_1,36,9,59,5.9,8,207,,,,,,
36,BPM_1,37,9,32,3.2,182,100,,,,,,
37,BPM_1,38,9,34,3.4,188,99,,,,,,
38,BPM_1,39,9,56,5.6,269,69,,,,,,
39,BPM_1,40,9,37,3.7,47,85,,,,,,
40,BPM_1,41,9,43,4.3,170,87,,,,,,
41,BPM_1,42,9,63,6.3,75,73,,,,,,
42,BPM_1,43,9,50,5.0,199,197,,,,,,
43,BPM_1,44,9,59,5.9,276,289,,,,,,
44,BPM_1,45,9,49,4.9,29,234,,,,,,
45,BPM_1,46,9,19,1.9,24,57,,,,,,
46,BPM_1,47,9,63,6.3,33,68,,,,,,
47,BPM_1,48,9,62,6.2,19,94,70,149,,,,
48,BPM_1,49,9,19,1.9,189,98,,,,,,
49,BPM_1,50,9,61,6.1,59,64,,,,,,
50,BPM_1,51,9,32,3.2,15,85,,,,,,
51,BPM_1,52,9,43,4.3,72,75,,,,,,
52,BPM_1,53,9,43,4.3,26,66,,,,,,
53,BPM_1,54,9,39,3.9,44,82,,,,,,
54,BPM_1,55,9,31,3.1,45,67,,,,,,
55,BPM_1,56,9,43,4.3,60,61,,,,,,
56,BPM_1,57,9,68,6.8,9,66,,,,,,
57,BPM_1,58,9,31,3.1,110,292,,,,,,
58,BPM_1,59,9,25,2.5,18,224,,,,,,
59,BPM_1,60,9,61,6.1,11,211,,,,,,
60,BPM_2,1,9,49,4.9,8,218,,,,,,
61,BPM_2,2,9,45,4.5,289,276,,,,,,
62,BPM_2,3,9,43,4.3,216,208,,,,,,
63,BPM_2,4,9,37,3.7,276,102,,,,,,
64,BPM_2,5,9,39,3.9,232,109,,,,,,
65,BPM_2,6,9,55,5.5,296,57,,,,,,
66,BPM_2,7,9,46,4.6,70,95,,,,,,
67,BPM_2,8,9,32,3.2,71,94,,,,,,
68,BPM_2,9,9,44,4.4,47,101,,,,,,
69,BPM_2,10,10,31,13.1,72,143,64,228,,,,
70,BPM_2,11,9,49,4.9,232,99,,,,,,
71,BPM_2,12,9,34,3.4,215,214,54,53,,,,
72,BPM_2,13,10,13,11.3,225,209,,,,,,
73,BPM_2,14,9,43,4.3,275,137,,,,,,
74,BPM_2,15,9,61,6.1,104,180,,,,,,
75,BPM_2,16,9,31,3.1,295,295,,,,,,
76,BPM_2,17,9,79,7.9,67,133,,,,,,
77,BPM_2,18,9,23,2.3,69,98,,,,,,
78,BPM_2,19,9,43,4.3,31,205,,,,,,
79,BPM_2,20,9,43,4.3,292,272,,,,,,
80,BPM_2,21,9,74,7.4,142,297,,,,,,
81,BPM_2,22,9,90,9.0,154,47,,,,,,
82,BPM_2,23,9,43,4.3,15,218,,,,,,
