,xp (A),yp (A),tp (ns),thickness (A),mean curvature,apl,lipid order
0,30,90,,33.80500393,0.004690734483,89.17238488,0.2248661039
1,90,30,,33.8896449,-0.005385168139,77.98496896,0.1416891549
2,10,160,,36.03059129,-0.01422676975,55.8310815,0.1558149173
3,230,150,,38.65640171,-0.004339872283,96.83060486,0.1685089097
4,70,150,,33.64616137,0.01085703799,76.7733408,0.2099567871
5,90,210,,36.0154681,-0.0112799152,77.00189707,0.2272646708
6,130,50,,33.69791234,0.01729701487,61.81623741,0.2544323848
7,280,210,,36.4747852,-0.007187330312,57.85101151,0.2314497827
8,200,100,,37.16729307,0.001355999806,53.33957164,0.289738965
9,290,290,,33.51585109,-0.01064451151,80.4873433,0.1867771184
10,180,250,,33.13649392,-0.03054923137,74.45324216,0.1053822927
11,210,110,,33.94489889,0.008730160241,71.5844938,0.2084821478
12,270,170,,36.08826365,0.03726620921,62.03422088,0.231941356
13,20,160,,33.63150092,0.01362880166,54.88504253,0.174518573
14,20,130,,38.13146862,-0.01655208564,79.45067329,0.2479450993
15,10,200,,37.35536555,0.0114840225,78.88330216,0.1584050279
16,170,140,,37.02467325,-0.007048861029,84.87848391,0.2525798104
17,30,110,,33.9141465,-0.0009331938718,74.01329558,0.2285598841
18,120,140,,31.96586413,-0.006793711952,78.9338499,0.1532481586
19,260,70,,35.23592568,-0.005217684927,85.74887499,0.1647847643
20,300,170,,36.53381976,-0.02027025898,65.77545759,0.2163899232
21,0,130,,35.51556021,-0.03248719064,83.12128426,0.1321196545
22,180,310,,36.63142519,-0.0465320501,80.92281772,0.1921106053
23,240,190,,35.15076992,-0.02105708522,63.66830608,0.154936586
24,290,270,,35.76642427,0.009654474501,75.19983543,0.2419956516
25,160,160,,35.2522526,-0.006542251056,76.71023323,0.1766205678
26,280,310,,33.97639482,-0.02446476208,99.50666446,0.1208925518
27,180,210,,37.94275252,-0.004655838324,79.4925507,0.3108521788
28,220,220,,35.77514753,0.001950943631,84.15471189,0.1873230734
29,250,150,,33.79659807,0.02064033381,77.15890812,0.149258017
30,90,40,,38.55573233,-0.007531728071,71.72267866,0.2560447714
31,170,180,,33.54587365,-0.008464514415,60.97784711,0.2367537258
32,240,160,,36.50082213,-0.002143782607,76.75462534,0.2067125241
33,70,160,,32.08214581,-0.01302815644,71.53514235,0.160218395
34,160,40,,36.03218772,0.00876127032,102.5490322,0.1637958804
35,120,100,,38.87300419,0.002546798681,64.59927259,0.2671782441
36,290,220,,39.94960039,-0.007898742584,78.77864217,0.2644167505
37,10,110,,36.36010314,0.03255097923,47.23699489,0.2617842656
38,140,210,,31.98965125,0.007366361417,99.88306699,0.1533750614
39,160,200,,32.84350056,0.005363086276,83.39218863,0.1673249783
40,310,210,,34.52875809,-0.01544661009,70.94297947,0.1562109697
41,30,180,,35.7884169,0.001318986319,74.94328454,0.2144456612
42,80,100,,30.11354151,-0.009215012712,58.30272614,0.1464241667
43,310,250,,35.0366063,0.01292783078,75.36446806,0.1244303222
44,70,20,,38.06242087,0.01100166107,58.78435922,0.340642127
45,90,240,,33.44730498,-0.01123463419,56.86749068,0.2572311827
46,220,130,,34.67042131,-0.0239599426,43.02110124,0.2549015726
47,210,70,,34.39170672,-0.03007369927,70.26591723,0.1910195111
48,250,80,,37.51571268,-0.02182699332,78.65912633,0.1972202052
49,100,180,,29.95328897,0.01396467623,66.11039065,0.2066375052
50,0,310,,34.49639726,0.005766582996,95.826983,0.09821743943
51,140,140,,33.24426386,-0.006034645881,81.48685112,0.1514615862
52,160,230,,36.1371319,-0.02781962271,62.74993508,0.3340185203
53,160,210,,33.9270234,-0.00799362157,73.0605758,0.2201342591
54,240,130,,36.77116532,0.008029704698,70.53039767,0.2644763841
55,150,230,,33.62895406,0.004029301718,59.37622011,0.197335558
56,50,110,,32.95695237,0.008353866186,96.03011824,0.192851314
57,100,220,,35.67335732,0.03772888297,66.26183266,0.240268197
58,60,110,,29.10473259,0.02617081605,53.65252112,0.1099079888
59,200,50,,36.83364071,0.005178530295,62.58753992,0.2095850764
60,30,280,,32.83290256,-0.008040577092,74.95951006,0.1450318963
61,290,160,,33.43228447,-0.01138981851,73.03019798,0.1575212922
62,110,150,,37.57621523,-0.0007230622886,87.36274607,0.2649735544
63,190,250,,33.95418448,-0.004873021391,56.17443169,0.1872711375
64,190,200,,37.34967087,-0.01690216229,61.651666,0.2036533226
65,180,90,,34.72511182,0.01417362582,57.19101716,0.2032236817
66,140,120,,37.84892425,-0.08555530502,49.80022074,0.2075299523
67,80,0,,36.25134425,0.008542698742,81.18968619,0.1021580016
68,120,170,,34.17956845,-0.0306107355,62.99911738,0.2483958503
69,190,130,,33.1322227,0.002415197377,85.00420082,0.1608733122
70,100,240,,33.70844948,0.02900617154,61.79474292,0.2011391113
71,270,230,,36.99108463,0.01478223381,75.07565682,0.2423646617
72,0,280,,35.19069931,-0.05702211071,75.91016565,0.161228172
73,170,60,,37.08138829,-0.003916891639,74.97705302,0.25420532
74,100,0,,35.0979828,0.004979231675,86.04030595,0.08089276278
75,100,120,,33.3322551,-0.005318345841,62.36245923,0.1378722492
76,30,50,,36.75463961,-0.003157205003,78.65115551,0.2533875698
77,30,310,,33.24451514,0.04193123608,55.63028226,0.142937707
78,0,30,,34.39953782,-0.01033314053,56.54692466,0.1590373128
79,120,250,,36.91651032,0.01738882983,68.60526432,0.1906600824
80,120,130,,35.58824484,0.0007511363338,63.89295443,0.2455257209
81,220,120,,31.36368215,-0.0274848754,61.99862974,0.1793378896
82,310,10,,35.91169801,0.01097283985,82.07169427,0.1668819567
83,160,90,,34.4302812,0.007256667945,80.2394081,0.2089585843
84,160,180,,33.30748552,-0.01385398211,59.82452589,0.2267799078
85,100,40,,33.84167626,0.01971625047,71.92592311,0.1428094838
86,200,180,,37.14606883,-0.002713771508,101.6660604,0.2577856042
87,310,260,,35.9222606,0.001641193451,77.09345122,0.2492909773
88,200,250,,36.30011526,0.01005388983,64.41591737,0.1863400095
89,40,310,,33.13878513,-0.02045732171,92.93736317,0.2012658198
90,60,220,,31.89938114,0.009568899697,61.02770736,0.08469628326
91,150,170,,35.23569698,0.01277953289,73.56036425,0.2152352127
92,130,150,,33.42361708,-0.006960206201,78.52040327,0.156423683
