,Replica,run,conf,frame,tpore,x0,y0,x1,y1,x2,y2,x3,y3,membrane
0,APM-hyp_1,1,9,16,1.6,78,203,,,,,,,APM-hyp
1,APM-hyp_1,2,9,15,1.5,68,130,,,,,,,APM-hyp
2,APM-hyp_1,3,9,11,1.1,133,131,,,,,,,APM-hyp
3,APM-hyp_1,4,9,10,1.0,199,114,,,,,,,APM-hyp
4,APM-hyp_1,5,9,13,1.3,17,13,,,,,,,APM-hyp
5,APM-hyp_1,6,9,7,0.7,26,296,,,,,,,APM-hyp
6,APM-hyp_1,7,9,25,2.5,199,132,,,,,,,APM-hyp
7,APM-hyp_1,8,9,16,1.6,4,29,129.0,208.0,,,,,APM-hyp
8,APM-hyp_1,9,9,19,1.9,60,134,,,,,,,APM-hyp
9,APM-hyp_1,10,9,10,1.0,198,289,,,,,,,APM-hyp
10,APM-hyp_1,11,9,13,1.3,135,185,223.0,110.0,,,,,APM-hyp
11,APM-hyp_1,12,9,16,1.6,32,8,,,,,,,APM-hyp
12,APM-hyp_1,13,9,14,1.4,228,114,,,,,,,APM-hyp
13,APM-hyp_1,14,9,13,1.3,63,120,,,,,,,APM-hyp
14,APM-hyp_1,15,9,13,1.3,141,208,170.0,40.0,,,,,APM-hyp
15,APM-hyp_1,16,9,19,1.9,88,91,,,,,,,APM-hyp
16,APM-hyp_1,17,9,17,1.7,132,218,,,,,,,APM-hyp
17,APM-hyp_1,18,9,17,1.7,19,295,240.0,152.0,,,,,APM-hyp
18,APM-hyp_1,19,9,16,1.6,126,176,,,,,,,APM-hyp
19,APM-hyp_1,20,9,16,1.6,34,231,,,,,,,APM-hyp
20,APM-hyp_1,21,9,14,1.4,48,135,,,,,,,APM-hyp
21,APM-hyp_1,22,9,13,1.3,61,126,221.0,157.0,,,,,APM-hyp
22,APM-hyp_1,23,9,13,1.3,133,194,,,,,,,APM-hyp
23,APM-hyp_1,24,9,20,2.0,20,10,,,,,,,APM-hyp
24,APM-hyp_1,25,9,15,1.5,233,117,,,,,,,APM-hyp
